"token
",m1,m2,m3,m4c,m4,m5c,m5,mod_class_id,mod_class_name,mod_term,mod_ay,mod_sem,mod_module_code
40868_1455,2,4,4,Good text 1,Fun,Bad text 1,Tough,TG3001,Engineering Principles and Practice I,1510,15,1,1791
4125_78,4,5,3,Good text 1,Fun,Bad text 1,Tough,ES1103,Social Psychology of New Media,720,7,2,1417
4271_1979,4,5,1,Good text 1,Fun,Bad text 1,Tough,GER1000,Programming Methodology,1710,17,1,1242
46442_871,4,3,2,Good text 1,Fun,Bad text 1,Tough,SSA2202,Japanese 2,810,8,1,1905
46935_1711,5,3,4,Good text 1,Fun,Bad text 1,Tough,GEK1519,Multivariable Calculus,1510,15,1,1088
47172_476,5,2,4,Good text 1,Fun,Bad text 1,Tough,PL3242,Geotechnical Engineering,1210,12,1,1417
47388_160,4,1,1,Good text 1,Fun,Bad text 1,Tough,GER1000,Programming Methodology,1130,11,3,1044
48592_838,2,4,4,Good text 1,Fun,Bad text 1,Tough,DP1001,Mathematics I,1620,16,2,1575
4877_767,2,1,4,Good text 1,Fun,Bad text 1,Tough,EC1301,Financial Accounting,1600,16,0,1745
49061_258,1,1,5,Good text 1,Fun,Bad text 1,Tough,CS1020,English for Academic Purposes,920,9,2,4852
49439_414,5,5,5,Good text 1,Fun,Bad text 1,Tough,ES2002,Fluid Mechanics I,420,4,2,6155
49844_910,1,1,3,Good text 1,Fun,Bad text 1,Tough,ME2121,Introduction to Computer Networks,1610,16,1,1341
49853_816,5,4,3,Good text 1,Fun,Bad text 1,Tough,MA1102R,Southeast Asia: A Changing Region,1510,15,1,2273
5024_1195,5,4,1,Good text 1,Fun,Bad text 1,Tough,PL3232,Programming for Computer Interfaces,1420,14,2,1014
50533_1500,3,3,4,Good text 1,Fun,Bad text 1,Tough,CS2105,Research and Statistical Methods I,1310,13,1,1016
51677_62,1,3,4,Good text 1,Fun,Bad text 1,Tough,MA1421,Fundamentals of Physics I,1220,12,2,13540
51677_62,5,5,1,Good text 1,Fun,Bad text 1,Tough,CS2100,The Evolution of a Global City-State,1220,12,2,1615
53356_748,4,1,5,Good text 1,Fun,Bad text 1,Tough,MA1102R,Southeast Asia: A Changing Region,1110,11,1,1448
54025_1545,5,5,5,Good text 1,Fun,Bad text 1,Tough,EC3102,Manufacturing Processes,1110,11,1,1268
54925_294,5,3,3,Good text 1,Fun,Bad text 1,Tough,GEM2901,Heat Transfer,920,9,2,10592
55837_324,3,5,5,Good text 1,Fun,Bad text 1,Tough,CS3230,Real Estate Finance,1120,11,2,15556
56163_519,1,1,3,Good text 1,Fun,Bad text 1,Tough,GES1021,Strategies for Sustainable Architecture,1710,17,1,1075
56285_1910,5,3,4,Good text 1,Fun,Bad text 1,Tough,LSM2102,Biodiversity,1220,12,2,1180
56334_504,5,4,5,Good text 1,Fun,Bad text 1,Tough,LSM2103,Introduction to Politics,1540,15,4,1043
56428_1013,2,5,4,Good text 1,Fun,Bad text 1,Tough,BSP1703,Measurement (Building Works),1400,14,0,1133
56613_1135,5,2,2,Good text 1,Fun,Bad text 1,Tough,CS2106,Econometrics I,1710,17,1,1241
56999_1089,1,5,5,Good text 1,Fun,Bad text 1,Tough,BMA5003,Comprehensive Health Assessment,1310,13,1,1294
57526_1629,5,3,1,Good text 1,Fun,Bad text 1,Tough,LSM3211,Introductory Mathematics,910,9,1,1422
58378_1992,4,4,2,Good text 1,Fun,Bad text 1,Tough,ME4101A,Industrial Attachment,1140,11,4,1345
59039_1058,4,1,3,Good text 1,Fun,Bad text 1,Tough,DSC2006,Managerial Economics,1110,11,1,1696
59039_1058,2,1,5,Good text 1,Fun,Bad text 1,Tough,LAG1201,Public Speaking and Critical Reasoning,1110,11,1,1483
60058_433,5,3,5,Good text 1,Fun,Bad text 1,Tough,LC1003,Organic Chemistry for Engineers,1420,14,2,1817
6668_1488,3,5,4,Good text 1,Fun,Bad text 1,Tough,TG1401,Mechanical Systems Design II,810,8,1,4321
7722_1603,4,4,1,Good text 1,Fun,Bad text 1,Tough,EG2401,Principles of Economics,1620,16,2,1038
8182_510,2,3,3,Good text 1,Fun,Bad text 1,Tough,PC1432,Japanese 1,1410,14,1,15556
8269_533,1,1,4,Good text 1,Fun,Bad text 1,Tough,NUR2116,History and Theory of Southeast Asia Architecture,1310,13,1,1005
8515_822,1,1,1,Good text 1,Fun,Bad text 1,Tough,NM2104,Fundamentals of Real Estate Finance,1510,15,1,1788
9044_197,5,4,5,Good text 1,Fun,Bad text 1,Tough,CE2407,Global Environmental Issues,1810,18,1,1141
986_420,3,2,2,Good text 1,Fun,Bad text 1,Tough,ES5001A,Reporting Statistics in the Media,1220,12,2,3960
13296_1504,2,4,1,Good text 10,Interesting,Bad text 1,Tough,PR4105,BIOSTATISTICS FOR BASIC RESEARCH,1640,16,4,1008
13296_1504,4,3,5,Good text 10,Interesting,Bad text 1,Tough,MA1312,Project and Facilities Management Law,1640,16,4,1144
15130_1631,5,1,1,Good text 10,Interesting,Bad text 1,Tough,GE2229,Interaction Design,1720,17,2,1521
1543_1399,2,3,5,Good text 10,Interesting,Bad text 1,Tough,CN4118R,Power Electronics,1320,13,2,1059
15517_879,5,4,2,Good text 10,Interesting,Bad text 1,Tough,CM1401,Business Analytics - Data & Decisions,1030,10,3,15559
1556_456,2,5,3,Good text 10,Interesting,Bad text 1,Tough,CFG1010,Engineering Professionalism,1510,15,1,1679
16013_530,2,2,4,Good text 10,Interesting,Bad text 1,Tough,NM2209,Advertising Strategies,1520,15,2,1355
16425_1084,4,3,2,Good text 10,Interesting,Bad text 1,Tough,FIN2004,Singapore Society,1810,18,1,1045
18546_1969,2,2,5,Good text 10,Interesting,Bad text 1,Tough,MA1102R,Southeast Asia: A Changing Region,1310,13,1,1023
20219_1216,4,1,1,Good text 10,Interesting,Bad text 1,Tough,SSA2204,Fundamentals of Biochemistry,1120,11,2,1398
20830_1826,1,4,3,Good text 10,Interesting,Bad text 1,Tough,GE2218,Architectural Construction,1520,15,2,1256
21960_1622,3,5,5,Good text 10,Interesting,Bad text 1,Tough,BSP1005,Physics IIE,520,5,2,1156
24851_1206,3,2,5,Good text 10,Interesting,Bad text 1,Tough,ST1232,Microeconomic Analysis I,1810,18,1,1620
25525_149,5,1,2,Good text 10,Interesting,Bad text 1,Tough,NUR1114,The Mathematics of Games,1110,11,1,1276
26086_357,5,3,1,Good text 10,Interesting,Bad text 1,Tough,MA2101,Darwin and Evolution,1420,14,2,1791
26415_1454,3,1,4,Good text 10,Interesting,Bad text 1,Tough,SC2204,Systems Design Project,1520,15,2,1137
2756_518,1,5,1,Good text 10,Interesting,Bad text 1,Tough,IT1004,Research Methodology,1220,12,2,1704
28254_1840,2,2,4,Good text 10,Interesting,Bad text 1,Tough,PL2131,Molecular Genetics,1620,16,2,12838
29192_579,3,2,4,Good text 10,Interesting,Bad text 1,Tough,ACC1701,Entrepreneurial Marketing,1720,17,2,1697
30594_1270,3,2,3,Good text 10,Interesting,Bad text 1,Tough,SSA2219,Medical-Surgical Nursing II,1710,17,1,1788
30838_1094,5,1,4,Good text 10,Interesting,Bad text 1,Tough,EC2374,Real Estate Marketing & Negotiation,1520,15,2,1091
31513_1743,5,3,4,Good text 10,Interesting,Bad text 1,Tough,HR2002,HeadStart Module (A Career Development Programme),1410,14,1,5352
31810_1299,5,3,4,Good text 10,Interesting,Bad text 1,Tough,ME2142,Fundamentals of Physics II,1520,15,2,1060
3209_583,2,1,2,Good text 10,Interesting,Bad text 1,Tough,PC1141,Linear and Network Optimisation,1720,17,2,1010
32938_1192,1,5,4,Good text 10,Interesting,Bad text 1,Tough,GEK1508,Calculus for Computing,1520,15,2,1022
33361_291,1,3,3,Good text 10,Interesting,Bad text 1,Tough,ME2151,Probability and Statistics,1610,16,1,1375
33432_477,3,4,1,Good text 10,Interesting,Bad text 1,Tough,ME4101,Project,1210,12,1,2868
33926_529,5,3,1,Good text 10,Interesting,Bad text 1,Tough,LSM1401,Data Structures and Algorithms I,1320,13,2,15557
33933_1144,4,2,3,Good text 10,Interesting,Bad text 1,Tough,LAJ3201,Community Health Posting,520,5,2,5121
34335_1869,4,5,1,Good text 10,Interesting,Bad text 1,Tough,CN2122,Chemical Engineering Principles,1220,12,2,1791
35975_319,1,2,4,Good text 10,Interesting,Bad text 1,Tough,NM2104,Fundamentals of Real Estate Finance,910,9,1,1143
36007_574,2,4,5,Good text 10,Interesting,Bad text 1,Tough,MA1102R,Southeast Asia: A Changing Region,1630,16,3,1893
36086_1589,3,5,2,Good text 10,Interesting,Bad text 1,Tough,GET1031A,Physiology 1,620,6,2,10592
36767_677,2,3,1,Good text 10,Interesting,Bad text 1,Tough,LAJ2201,Managerial Accounting,1520,15,2,15258
3686_1381,1,5,2,Good text 10,Interesting,Bad text 1,Tough,EC3303,Bahasa Indonesia 1,1310,13,1,5941
37012_925,4,3,1,Good text 10,Interesting,Bad text 1,Tough,BSP2001,Genes and Society,1320,13,2,1304
38963_1653,3,1,4,Good text 10,Interesting,Bad text 1,Tough,MKT1003,Management And Organisation,1120,11,2,1788
42133_1037,4,1,2,Good text 10,Interesting,Bad text 1,Tough,NM2101,Public Writing and Communication,1020,10,2,1588
42437_1268,4,5,4,Good text 10,Interesting,Bad text 1,Tough,CM2191,Film Art and Human Concerns,1720,17,2,1256
42600_1727,4,2,4,Good text 10,Interesting,Bad text 1,Tough,LAJ2203,Physical Chemistry 2,1230,12,3,2517
43550_986,4,2,1,Good text 10,Interesting,Bad text 1,Tough,EC1301,Financial Accounting,1610,16,1,1997
43679_25,4,2,3,Good text 10,Interesting,Bad text 1,Tough,EG1108,Linear Algebra I,1440,14,4,1095
44554_801,1,1,2,Good text 10,Interesting,Bad text 1,Tough,EC1101E,Changing Landscapes of Singapore,1710,17,1,1125
44554_801,4,5,5,Good text 10,Interesting,Bad text 1,Tough,ME2113,Money and Banking I,1710,17,1,1011
46630_396,5,3,4,Good text 10,Interesting,Bad text 1,Tough,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,720,7,2,2098
48459_1424,5,1,3,Good text 10,Interesting,Bad text 1,Tough,PH1102E,"Legal Analysis, Research & Communication",920,9,2,1073
49556_564,1,4,3,Good text 10,Interesting,Bad text 1,Tough,LSM1103,Principles of Mechanical Eng. Materials,1120,11,2,1764
50385_795,1,2,2,Good text 10,Interesting,Bad text 1,Tough,PL3235,Quantitative Methods for Economic Analysis,1420,14,2,1188
51817_985,3,5,2,Good text 10,Interesting,Bad text 1,Tough,PC1432,Japanese 1,1310,13,1,1148
52314_1880,4,1,1,Good text 10,Interesting,Bad text 1,Tough,LAJ2201,Managerial Accounting,1110,11,1,1107
52515_1890,4,3,5,Good text 10,Interesting,Bad text 1,Tough,EC1101E,Changing Landscapes of Singapore,1120,11,2,1248
54649_1130,3,2,2,Good text 10,Interesting,Bad text 1,Tough,LSM2102,Biodiversity,1620,16,2,1722
55001_1169,1,3,3,Good text 10,Interesting,Bad text 1,Tough,PC1432,Japanese 1,1310,13,1,1217
55027_1297,3,4,5,Good text 10,Interesting,Bad text 1,Tough,PF2101,Design for Strategic Communications,1620,16,2,1084
5706_1680,2,4,4,Good text 10,Interesting,Bad text 1,Tough,LSM1104,Feedback Control Systems,610,6,1,1610
59192_862,1,1,5,Good text 10,Interesting,Bad text 1,Tough,TG2415,Principles of Communication Management,1110,11,1,1043
6018_1779,3,1,1,Good text 10,Interesting,Bad text 1,Tough,SN1101E,Government and Politics of Singapore,620,6,2,1547
60443_1897,2,2,5,Good text 10,Interesting,Bad text 1,Tough,BSP2005,Introduction to Statistics,820,8,2,1142
60909_898,5,3,1,Good text 10,Interesting,Bad text 1,Tough,ME2114,Law Of Torts,1020,10,2,2491
61259_427,2,5,3,Good text 10,Interesting,Bad text 1,Tough,NM1101E,Asking Questions,1610,16,1,8504
6663_550,4,3,2,Good text 10,Interesting,Bad text 1,Tough,MKT1003,Management And Organisation,1020,10,2,1899
6720_1977,4,5,5,Good text 10,Interesting,Bad text 1,Tough,CS1010S,Law Of Contract,1210,12,1,1380
6900_1846,1,1,3,Good text 10,Interesting,Bad text 1,Tough,CG2271,Evidence (A),810,8,1,3142
6905_1997,4,5,1,Good text 10,Interesting,Bad text 1,Tough,CN3124,Analytical Methods in Electrical and Computer Engineering,910,9,1,1186
7619_1414,2,5,5,Good text 10,Interesting,Bad text 1,Tough,SSA2202,Japanese 2,1020,10,2,1009
7722_1603,2,3,5,Good text 10,Interesting,Bad text 1,Tough,PR3103,Physiology 2,1620,16,2,1217
9077_1546,5,2,5,Good text 10,Interesting,Bad text 1,Tough,MLE1101,Human Capital in Organizations,1140,11,4,1548
986_543,5,1,1,Good text 10,Interesting,Bad text 1,Tough,MA1521,Intermediate Fluid Mechanics,1340,13,4,15559
11288_751,5,5,5,Good text 11,Useful,Bad text 1,Tough,MA1421,Fundamentals of Physics I,1410,14,1,1290
11996_37,5,4,4,Good text 11,Useful,Bad text 1,Tough,MKT1003,Management And Organisation,820,8,2,1028
12367_264,1,2,5,Good text 11,Useful,Bad text 1,Tough,CM1191,Property Management,910,9,1,1210
13707_1927,2,4,2,Good text 11,Useful,Bad text 1,Tough,TS1101E,Research and Statistical Methods II,1110,11,1,1123
13789_1332,5,3,5,Good text 11,Useful,Bad text 1,Tough,EG1109,Computer Organisation,1710,17,1,1460
15152_1218,5,3,1,Good text 11,Useful,Bad text 1,Tough,ST2132,Econometrics II,1030,10,3,2491
1556_456,1,1,1,Good text 11,Useful,Bad text 1,Tough,ME2114,Law Of Torts,1510,15,1,1704
15672_954,5,3,3,Good text 11,Useful,Bad text 1,Tough,SSA1201,Macroeconomic Analysis I,1310,13,1,1275
16005_1904,2,4,3,Good text 11,Useful,Bad text 1,Tough,PL2131,Molecular Genetics,820,8,2,2041
16773_186,2,2,4,Good text 11,Useful,Bad text 1,Tough,CFG1001,Einstein's Universe & Quantum Weirdness,1710,17,1,1663
17725_699,2,2,3,Good text 11,Useful,Bad text 1,Tough,PC1431,NUS Data Protection & PDPA Guidelines,1110,11,1,1061
17887_553,4,3,2,Good text 11,Useful,Bad text 1,Tough,CS1010E,Principles of Marketing,1020,10,2,1696
18332_631,2,2,3,Good text 11,Useful,Bad text 1,Tough,GET1029,Stochastic Processes I,1710,17,1,2075
19537_1354,1,4,4,Good text 11,Useful,Bad text 1,Tough,ES5001A,Reporting Statistics in the Media,910,9,1,1276
21032_449,5,4,3,Good text 11,Useful,Bad text 1,Tough,PC1431,NUS Data Protection & PDPA Guidelines,720,7,2,1818
21274_8,3,4,3,Good text 11,Useful,Bad text 1,Tough,LSM1104,Feedback Control Systems,1420,14,2,1622
21295_170,4,4,3,Good text 11,Useful,Bad text 1,Tough,DSC2006,Managerial Economics,620,6,2,1008
21526_851,2,4,5,Good text 11,Useful,Bad text 1,Tough,PF2101,Design for Strategic Communications,1510,15,1,1084
23431_612,3,5,4,Good text 11,Useful,Bad text 1,Tough,GEK1022,Pharmacology 2,1810,18,1,1677
23854_1101,4,5,1,Good text 11,Useful,Bad text 1,Tough,EE6999,The Biophysical Environment of Singapore,1010,10,1,1093
25612_726,1,1,2,Good text 11,Useful,Bad text 1,Tough,ST3131,Chemical Kinetics & Reactor Design,810,8,1,1118
25996_4,5,4,1,Good text 11,Useful,Bad text 1,Tough,LAB1201,Introduction to Japanese Studies,1210,12,1,1704
27108_753,3,5,5,Good text 11,Useful,Bad text 1,Tough,CM1401,Business Analytics - Data & Decisions,1640,16,4,1603
27990_1729,4,3,1,Good text 11,Useful,Bad text 1,Tough,GL1101E,Public Finance,1720,17,2,1312
28000_399,1,1,4,Good text 11,Useful,Bad text 1,Tough,PL2131,Molecular Genetics,610,6,1,1188
28955_165,2,5,1,Good text 11,Useful,Bad text 1,Tough,ME4101A,Industrial Attachment,1210,12,1,1015
29967_1335,3,2,4,Good text 11,Useful,Bad text 1,Tough,ST2334,Foundations for Econometrics,1740,17,4,1588
30068_790,4,1,3,Good text 11,Useful,Bad text 1,Tough,EC3332,An Introduction to Literary Studies,1720,17,2,1049
30451_27,2,5,3,Good text 11,Useful,Bad text 1,Tough,LSM1103,Principles of Mechanical Eng. Materials,1020,10,2,1745
30461_1298,1,1,4,Good text 11,Useful,Bad text 1,Tough,LSM1301,Introduction to Psychology,920,9,2,1322
30625_514,4,2,1,Good text 11,Useful,Bad text 1,Tough,PR3103,Physiology 2,1710,17,1,2041
30891_356,1,3,3,Good text 11,Useful,Bad text 1,Tough,MA2108,GRADUATE ENGLISH COURSE (INTERMEDIATE LEVEL),1110,11,1,1357
31645_1197,5,4,4,Good text 11,Useful,Bad text 1,Tough,GEK1045,Molecular Cell Biology,1210,12,1,1399
32480_93,4,1,1,Good text 11,Useful,Bad text 1,Tough,GE2220,Instrumental Analysis II,1030,10,3,1049
33926_529,4,2,2,Good text 11,Useful,Bad text 1,Tough,PL3235,Quantitative Methods for Economic Analysis,1320,13,2,1593
34927_1782,2,1,2,Good text 11,Useful,Bad text 1,Tough,PS1101E,StepUp Module (A Career Development Programme),820,8,2,1262
35627_842,3,3,2,Good text 11,Useful,Bad text 1,Tough,JS1101E,Software Engineering,1740,17,4,1040
36518_163,3,5,3,Good text 11,Useful,Bad text 1,Tough,ST2334,Foundations for Econometrics,820,8,2,15556
36548_1346,4,5,4,Good text 11,Useful,Bad text 1,Tough,GE2228,Labour Law In Singapore,1210,12,1,1112
36698_85,1,3,4,Good text 11,Useful,Bad text 1,Tough,EE3204,Chinese 2,1020,10,2,1105
37868_28,5,2,5,Good text 11,Useful,Bad text 1,Tough,BSP1005,Physics IIE,1740,17,4,1254
3823_409,2,4,2,Good text 11,Useful,Bad text 1,Tough,ES1102,"Life, the Universe, and Everything",1010,10,1,1330
38347_32,5,5,3,Good text 11,Useful,Bad text 1,Tough,LSM1104,Feedback Control Systems,1422,14,2.2,1058
40709_169,3,4,1,Good text 11,Useful,Bad text 1,Tough,SSS1207,Physics in the Life Sciences,640,6,4,1181
41432_132,3,3,3,Good text 11,Useful,Bad text 1,Tough,NUR3113,Economy of Modern China I,710,7,1,2491
42275_1716,5,2,5,Good text 11,Useful,Bad text 1,Tough,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,720,7,2,5121
42339_650,3,2,4,Good text 11,Useful,Bad text 1,Tough,SC1101E,Physics IE,1220,12,2,1627
44761_860,5,3,1,Good text 11,Useful,Bad text 1,Tough,MD5140,Game Theory & Applications to Economics,610,6,1,1268
45923_1574,1,3,2,Good text 11,Useful,Bad text 1,Tough,EC2373,Anatomy and Physiology II,1710,17,1,1697
45934_1699,5,2,3,Good text 11,Useful,Bad text 1,Tough,ME3112,Public Health in Action,920,9,2,1007
47973_1800,4,2,3,Good text 11,Useful,Bad text 1,Tough,EC3304,Biological Psychology,810,8,1,1393
4851_513,5,1,5,Good text 11,Useful,Bad text 1,Tough,MLE1101,Human Capital in Organizations,1210,12,1,1121
48599_673,5,4,2,Good text 11,Useful,Bad text 1,Tough,CS2106,Econometrics I,910,9,1,1330
49567_20,1,1,2,Good text 11,Useful,Bad text 1,Tough,FIN2004,Singapore Society,820,8,2,7780
49660_733,3,4,1,Good text 11,Useful,Bad text 1,Tough,RE2106,Taxation,1620,16,2,1039
52881_221,4,3,2,Good text 11,Useful,Bad text 1,Tough,LAF2201,Introduction to Modern Physics,1220,12,2,1164
53358_841,5,4,5,Good text 11,Useful,Bad text 1,Tough,MA1505,Quantitative Reasoning,1610,16,1,15257
53711_1798,3,5,3,Good text 11,Useful,Bad text 1,Tough,CS2103,Chemical Engineering Thermodynamics,610,6,1,1997
53830_1175,2,4,3,Good text 11,Useful,Bad text 1,Tough,MA1506,Mathematics II,1520,15,2,1093
54116_1440,5,5,5,Good text 11,Useful,Bad text 1,Tough,ME2134,Engineering Thermodynamics,1120,11,2,1123
54887_743,2,1,3,Good text 11,Useful,Bad text 1,Tough,GEQ1000,Operations Management,1010,10,1,1104
54989_1834,3,2,1,Good text 11,Useful,Bad text 1,Tough,CS1105,Human Anatomy and Physiology I,1620,16,2,1345
55901_914,1,4,4,Good text 11,Useful,Bad text 1,Tough,LAC1201,Social Psychology,1520,15,2,1028
56211_439,5,5,1,Good text 11,Useful,Bad text 1,Tough,LAJ2202,Mechanics of Materials,1120,11,2,1174
56504_935,4,4,1,Good text 11,Useful,Bad text 1,Tough,PS1101E,StepUp Module (A Career Development Programme),1640,16,4,1106
57012_1313,1,2,5,Good text 11,Useful,Bad text 1,Tough,PC1222,Macroeconomic Analysis II,1420,14,2,1157
58425_1132,1,1,2,Good text 11,Useful,Bad text 1,Tough,MA1505,Quantitative Reasoning,810,8,1,1275
59969_863,5,4,3,Good text 11,Useful,Bad text 1,Tough,EU1101E,Mechanical Systems Design I,1520,15,2,1011
60443_1897,2,2,5,Good text 11,Useful,Bad text 1,Tough,EG1109,Computer Organisation,820,8,2,15559
61841_1921,5,2,3,Good text 11,Useful,Bad text 1,Tough,EC3371,English For Academic Purposes (Engg),1620,16,2,1123
6738_716,3,3,5,Good text 11,Useful,Bad text 1,Tough,NM3215,Laboratory Techniques in Life Sciences,1610,16,1,1056
6900_1846,2,3,4,Good text 11,Useful,Bad text 1,Tough,EE6999,The Biophysical Environment of Singapore,810,8,1,1148
7857_1556,5,3,2,Good text 11,Useful,Bad text 1,Tough,BN2202,Clinical Skills Foundation Programme,1420,14,2,1295
794_389,4,5,4,Good text 11,Useful,Bad text 1,Tough,GES1003,Complex Analysis I,610,6,1,1255
10112_1428,4,5,3,Good text 12,Prof,Bad text 1,Tough,PR2202,Construction Project Management,1210,12,1,1031
1153_759,3,1,1,Good text 12,Prof,Bad text 1,Tough,ME3102,Honours Thesis,1710,17,1,1053
1197_1258,5,5,5,Good text 12,Prof,Bad text 1,Tough,PC1221,Regression Analysis,1520,15,2,1578
1209_749,4,1,3,Good text 12,Prof,Bad text 1,Tough,SC2212,Financial Markets,1720,17,2,1004
12223_441,1,1,5,Good text 12,Prof,Bad text 1,Tough,NM1101E,Asking Questions,1520,15,2,1068
12314_594,3,1,4,Good text 12,Prof,Bad text 1,Tough,GEQ1000,Operations Management,1410,14,1,12337
13296_1504,4,3,1,Good text 12,Prof,Bad text 1,Tough,PC1142,Pharmacology 1,1640,16,4,1082
13316_240,2,4,4,Good text 12,Prof,Bad text 1,Tough,GEK1519,Multivariable Calculus,1020,10,2,1017
14620_295,1,5,3,Good text 12,Prof,Bad text 1,Tough,DP1001,Mathematics I,1210,12,1,1983
